epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,29,,,320.34429931640625,54893488.0,750.7924194335938,0.5046103000640869,167.37252807617188
0,29,160.08935546875,,,,,,
1,49,,167.27806091308594,,,,,
1,59,,,287.3909912109375,71764656.0,678.3555908203125,0.47804129123687744,160.68113708496094
1,59,156.93075561523438,,,,,,
2,89,,,312.74322509765625,34392536.0,716.6777954101562,0.5939744114875793,160.30799865722656
2,89,162.568115234375,,,,,,
3,99,,195.21295166015625,,,,,
3,119,,,312.33123779296875,40785444.0,715.50341796875,0.554323673248291,161.04054260253906
3,119,151.4868927001953,,,,,,
4,149,,147.1424102783203,,,,,
4,149,,,279.55828857421875,64770136.0,663.7548828125,0.459127277135849,152.25901794433594
4,149,154.3707733154297,,,,,,
